date,sku,category,price,cost,on_hand_beg,delivery_qty,sales_qty,markdown_qty,waste_qty,promo_flag,holiday_flag,weather_index
2024-12-01,ROSE-12,Bouquet,24.99,10.5,0,26,8,4,4,0,0,0.938
2024-12-01,TULIP-10,Bouquet,14.99,6.2,0,19,11,0,2,0,0,1.034
2024-12-01,LILY-5,Bouquet,19.99,8.0,0,14,7,0,2,0,0,1.033
2024-12-01,ORCHID-POT,Plant,29.99,12.0,0,8,4,0,0,0,0,1.053
2024-12-01,MIX-GREEN,Arrangement,34.99,15.0,0,9,3,1,1,0,0,0.943
2024-12-02,ROSE-12,Bouquet,24.99,10.5,10,13,13,0,3,0,0,0.959
2024-12-02,TULIP-10,Bouquet,14.99,6.2,6,11,4,3,3,0,0,1.033
2024-12-02,LILY-5,Bouquet,19.99,8.0,5,7,5,0,2,0,0,0.992
2024-12-02,ORCHID-POT,Plant,29.99,12.0,4,3,2,1,0,0,0,1.026
2024-12-02,MIX-GREEN,Arrangement,34.99,15.0,4,5,6,0,1,0,0,1.082
2024-12-03,ROSE-12,Bouquet,24.99,10.5,7,19,12,0,4,0,0,1.081
2024-12-03,TULIP-10,Bouquet,14.99,6.2,7,9,10,0,2,0,0,1.016
2024-12-03,LILY-5,Bouquet,19.99,8.0,5,7,3,2,2,0,0,0.966
2024-12-03,ORCHID-POT,Plant,29.99,12.0,4,3,2,1,0,0,0,1.016
2024-12-03,MIX-GREEN,Arrangement,34.99,15.0,2,6,3,1,1,0,0,0.996
2024-12-04,ROSE-12,Bouquet,24.99,10.5,10,14,12,0,4,0,0,1.014
2024-12-04,TULIP-10,Bouquet,14.99,6.2,4,12,6,2,2,0,0,1.004
2024-12-04,LILY-5,Bouquet,19.99,8.0,5,6,6,0,1,0,0,0.956
2024-12-04,ORCHID-POT,Plant,29.99,12.0,4,3,5,0,0,0,0,0.974
2024-12-04,MIX-GREEN,Arrangement,34.99,15.0,3,6,1,2,1,0,0,1.087
2024-12-05,ROSE-12,Bouquet,24.99,10.5,8,18,18,0,2,0,0,1.098
