date,sku,category,price,cost,on_hand_beg,delivery_qty,sales_qty,markdown_qty,waste_qty,promo_flag,holiday_flag,weather_index
2024-01-01,LILY-5,Bouquet,20.05,8.01,3,10,5,0,2,0,0,1.0
2024-01-01,MIX-GREEN,Arrangement,34.63,14.98,5,5,3,0,1,0,0,1.0
2024-01-01,ORCHID-POT,Plant,30.22,12.11,4,3,2,0,0,0,0,1.0
2024-01-01,ROSE-12,Bouquet,25.23,10.45,9,17,13,0,6,0,0,1.0
2024-01-01,TULIP-10,Bouquet,14.7,6.2,6,13,9,1,2,0,0,1.0
2024-01-02,LILY-5,Bouquet,19.73,8.0,4,8,8,0,3,0,0,1.0
2024-01-02,MIX-GREEN,Arrangement,35.03,15.03,2,3,3,0,2,0,0,1.0
2024-01-02,ORCHID-POT,Plant,29.9,11.97,4,5,8,1,1,0,0,1.0
2024-01-02,ROSE-12,Bouquet,24.99,10.52,8,20,8,0,4,0,0,1.0
2024-01-02,TULIP-10,Bouquet,14.86,6.19,6,13,6,0,2,0,0,1.0
2024-01-03,LILY-5,Bouquet,20.17,7.94,1,10,10,1,2,0,0,1.0
2024-01-03,MIX-GREEN,Arrangement,35.26,15.0,2,6,5,0,1,0,0,1.0
2024-01-03,ORCHID-POT,Plant,30.01,11.93,5,4,5,0,0,0,0,1.0
2024-01-03,ROSE-12,Bouquet,25.27,10.41,10,16,13,0,5,0,0,1.0
2024-01-03,TULIP-10,Bouquet,15.06,6.2,7,11,10,0,1,0,0,1.0
2024-01-04,LILY-5,Bouquet,19.82,8.02,5,10,7,1,2,0,0,1.0
2024-01-04,MIX-GREEN,Arrangement,35.12,15.04,4,5,2,0,3,0,0,1.0
2024-01-04,ORCHID-POT,Plant,29.7,12.03,4,4,6,0,0,0,0,1.0
2024-01-04,ROSE-12,Bouquet,25.21,10.4,8,17,13,0,6,0,0,1.0
2024-01-04,TULIP-10,Bouquet,14.98,6.16,7,10,12,1,2,0,0,1.0
2024-01-05,LILY-5,Bouquet,19.95,8.08,4,11,10,0,2,0,0,1.0
2024-01-05,MIX-GREEN,Arrangement,34.75,14.92,5,7,5,0,1,0,0,1.0
2024-01-05,ORCHID-POT,Plant,30.36,12.04,4,4,2,0,0,0,0,1.0
2024-01-05,ROSE-12,Bouquet,24.95,10.46,11,18,16,0,2,0,0,1.0
2024-01-05,TULIP-10,Bouquet,14.93,6.2,6,10,7,1,3,0,0,1.0
2024-01-06,LILY-5,Bouquet,19.92,7.97,5,10,7,0,4,0,0,1.0
2024-01-06,MIX-GREEN,Arrangement,35.18,15.04,5,7,3,0,1,0,0,1.0
2024-01-06,ORCHID-POT,Plant,30.1,12.01,3,2,3,0,1,0,0,1.0
2024-01-06,ROSE-12,Bouquet,25.09,10.48,9,18,14,0,4,0,0,1.0
2024-01-06,TULIP-10,Bouquet,15.05,6.17,5,12,9,0,3,0,0,1.0
2024-01-07,LILY-5,Bouquet,20.42,8.01,3,10,7,0,2,0,0,1.0
2024-01-07,MIX-GREEN,Arrangement,34.85,14.91,4,7,2,1,1,0,0,1.0
2024-01-07,ORCHID-POT,Plant,29.84,12.03,4,6,4,1,0,0,0,1.0
2024-01-07,ROSE-12,Bouquet,24.79,10.64,9,18,10,0,3,0,0,1.0
2024-01-07,TULIP-10,Bouquet,15.08,6.24,7,12,9,1,2,0,0,1.0
2024-01-08,LILY-5,Bouquet,20.22,8.03,2,9,6,0,3,0,0,1.0
2024-01-08,MIX-GREEN,Arrangement,34.95,14.99,4,4,8,1,2,0,0,1.0
2024-01-08,ORCHID-POT,Plant,29.74,11.88,4,4,3,2,0,0,0,1.0
2024-01-08,ROSE-12,Bouquet,24.78,10.43,10,19,8,0,3,0,0,1.0
2024-01-08,TULIP-10,Bouquet,15.09,6.24,7,11,12,1,3,0,0,1.0
2024-01-09,LILY-5,Bouquet,20.14,7.97,5,8,7,1,1,0,0,1.0
2024-01-09,MIX-GREEN,Arrangement,35.18,14.95,3,5,4,0,2,0,0,1.0
2024-01-09,ORCHID-POT,Plant,29.79,11.99,2,4,3,0,0,0,0,1.0
2024-01-09,ROSE-12,Bouquet,25.05,10.44,9,17,10,0,4,0,0,1.0
2024-01-09,TULIP-10,Bouquet,15.01,6.16,6,11,13,0,2,0,0,1.0
2024-01-10,LILY-5,Bouquet,20.03,8.0,3,9,6,0,2,0,0,1.0
2024-01-10,MIX-GREEN,Arrangement,35.29,14.93,3,6,1,0,0,0,0,1.0
2024-01-10,ORCHID-POT,Plant,30.06,11.96,4,3,5,1,0,0,0,1.0
2024-01-10,ROSE-12,Bouquet,25.16,10.46,8,17,14,0,4,0,0,1.0
2024-01-10,TULIP-10,Bouquet,15.0,6.22,7,13,9,0,3,0,0,1.0
2024-01-11,LILY-5,Bouquet,20.05,7.99,3,9,4,1,3,0,0,1.0
2024-01-11,MIX-GREEN,Arrangement,35.21,14.99,3,5,2,1,1,0,0,1.0
2024-01-11,ORCHID-POT,Plant,29.55,12.04,4,4,2,0,1,0,0,1.0
2024-01-11,ROSE-12,Bouquet,24.91,10.49,10,19,15,1,4,0,0,1.0
2024-01-11,TULIP-10,Bouquet,14.92,6.19,6,12,9,1,3,0,0,1.0
2024-01-12,LILY-5,Bouquet,19.86,8.02,4,10,3,0,2,0,0,1.0
2024-01-12,MIX-GREEN,Arrangement,34.89,15.05,3,5,5,0,0,0,0,1.0
2024-01-12,ORCHID-POT,Plant,30.44,11.99,4,3,4,1,0,0,0,1.0
2024-01-12,ROSE-12,Bouquet,24.77,10.5,10,20,11,2,4,0,0,1.0
2024-01-12,TULIP-10,Bouquet,15.14,6.18,7,12,7,0,3,0,0,1.0
2024-01-13,LILY-5,Bouquet,19.65,7.97,5,9,4,0,0,0,0,1.0
2024-01-13,MIX-GREEN,Arrangement,34.87,15.06,4,6,6,1,1,0,0,1.0
2024-01-13,ORCHID-POT,Plant,30.04,12.03,3,3,4,0,1,0,0,1.0
2024-01-13,ROSE-12,Bouquet,25.14,10.52,8,19,13,0,4,0,0,1.0
2024-01-13,TULIP-10,Bouquet,15.1,6.21,6,12,9,0,2,0,0,1.0
2024-01-14,LILY-5,Bouquet,20.15,8.0,3,8,7,0,4,0,0,1.0
2024-01-14,MIX-GREEN,Arrangement,34.87,15.05,2,6,3,0,0,0,0,1.0
2024-01-14,ORCHID-POT,Plant,29.85,12.06,2,5,4,0,1,0,0,1.0
2024-01-14,ROSE-12,Bouquet,25.2,10.55,8,21,14,1,5,0,0,1.0
2024-01-14,TULIP-10,Bouquet,14.96,6.2,6,10,12,0,2,0,0,1.0
2024-01-15,LILY-5,Bouquet,19.73,8.06,4,10,4,0,2,0,0,1.0
2024-01-15,MIX-GREEN,Arrangement,34.59,15.02,2,5,4,1,1,0,0,1.0
2024-01-15,ORCHID-POT,Plant,29.71,12.04,4,3,6,0,0,0,0,1.0
2024-01-15,ROSE-12,Bouquet,25.11,10.51,9,18,16,0,3,0,0,1.0
2024-01-15,TULIP-10,Bouquet,15.01,6.21,7,11,13,0,2,0,0,1.0
2024-01-16,LILY-5,Bouquet,20.13,7.97,4,8,4,0,2,0,0,1.0
2024-01-16,MIX-GREEN,Arrangement,34.84,15.05,4,5,7,0,1,0,0,1.0
2024-01-16,ORCHID-POT,Plant,30.04,12.17,4,5,4,0,0,0,0,1.0
2024-01-16,ROSE-12,Bouquet,25.15,10.48,8,18,14,0,2,0,0,1.0
2024-01-16,TULIP-10,Bouquet,14.94,6.2,6,10,11,0,2,0,0,1.0
2024-01-17,LILY-5,Bouquet,20.08,7.98,3,9,3,0,1,0,0,1.0
2024-01-17,MIX-GREEN,Arrangement,34.76,14.96,3,5,5,1,0,0,0,1.0
2024-01-17,ORCHID-POT,Plant,29.88,12.09,3,4,6,0,0,0,0,1.0
2024-01-17,ROSE-12,Bouquet,24.89,10.46,9,19,12,0,4,0,0,1.0
2024-01-17,TULIP-10,Bouquet,14.81,6.19,5,11,9,0,3,0,0,1.0
2024-01-18,LILY-5,Bouquet,20.09,7.94,4,8,3,0,1,0,0,1.0
2024-01-18,MIX-GREEN,Arrangement,34.83,14.94,4,4,5,0,2,0,0,1.0
2024-01-18,ORCHID-POT,Plant,29.99,11.9,5,4,4,0,1,0,0,1.0
2024-01-18,ROSE-12,Bouquet,25.11,10.53,8,19,10,0,3,0,0,1.0
2024-01-18,TULIP-10,Bouquet,15.06,6.29,6,12,8,0,2,0,0,1.0
2024-01-19,LILY-5,Bouquet,20.12,7.99,4,11,6,2,4,0,0,1.0
2024-01-19,MIX-GREEN,Arrangement,34.96,14.87,5,5,3,0,1,0,0,1.0
2024-01-19,ORCHID-POT,Plant,29.86,12.05,3,5,4,2,0,0,0,1.0
2024-01-19,ROSE-12,Bouquet,24.97,10.46,8,17,9,1,4,0,0,1.0
2024-01-19,TULIP-10,Bouquet,14.74,6.24,9,11,12,1,3,0,0,1.0
2024-01-20,LILY-5,Bouquet,19.7,7.99,4,8,6,0,2,0,0,1.0
2024-01-20,MIX-GREEN,Arrangement,34.53,14.95,1,5,2,0,0,0,0,1.0
2024-01-20,ORCHID-POT,Plant,29.69,11.99,3,7,0,0,0,0,0,1.0
2024-01-20,ROSE-12,Bouquet,25.09,10.54,6,18,14,0,3,0,0,1.0
2024-01-20,TULIP-10,Bouquet,14.85,6.19,6,10,10,0,2,0,0,1.0
2024-01-21,LILY-5,Bouquet,19.91,7.98,5,9,6,0,1,0,0,1.0
2024-01-21,MIX-GREEN,Arrangement,35.44,14.99,2,4,6,0,1,0,0,1.0
2024-01-21,ORCHID-POT,Plant,29.88,11.92,4,3,6,0,0,0,0,1.0
2024-01-21,ROSE-12,Bouquet,25.17,10.52,10,20,12,0,3,0,0,1.0
2024-01-21,TULIP-10,Bouquet,14.85,6.14,4,12,8,0,2,0,0,1.0
2024-01-22,LILY-5,Bouquet,19.95,7.98,3,9,5,0,3,0,0,1.0
2024-01-22,MIX-GREEN,Arrangement,34.66,15.06,3,5,5,0,2,0,0,1.0
2024-01-22,ORCHID-POT,Plant,29.89,12.02,3,4,7,0,0,0,0,1.0
2024-01-22,ROSE-12,Bouquet,25.2,10.53,9,20,12,1,3,0,0,1.0
2024-01-22,TULIP-10,Bouquet,14.73,6.2,5,11,12,1,4,0,0,1.0
2024-01-23,LILY-5,Bouquet,20.08,8.05,4,6,7,0,2,0,0,1.0
2024-01-23,MIX-GREEN,Arrangement,35.07,15.07,3,7,5,0,1,0,0,1.0
